col_label,date,time_str,start_dt,sport,league_key,tag,channel,channel_num,title,fav_row,source
Friday 6/5,2026-06-05,8:30pm,2026-06-05 20:30:00,NBA,basketball/nba,(NBA),ABC,7,New York Knicks at San Antonio Spurs,,scoreboard
Friday 6/5,2026-06-05,8:00pm,2026-06-05 20:00:00,NCAA Softball,baseball/college-softball,(Softball),ESPN,11,(W) TBD at TBD,,scoreboard
Friday 6/5,2026-06-05,8:00am,2026-06-05 08:00:00,Golf Schedule,golf_smw,(Golf),FS1,15,Andalucia — Second Round,,golf_smw
Friday 6/5,2026-06-05,2:00pm,2026-06-05 14:00:00,Golf Schedule,golf_smw,(LPGA),USA,18,2026 U.S. Women's Open — Second Round,,golf_smw
Friday 6/5,2026-06-05,6:40pm,2026-06-05 18:40:00,MLB,baseball/mlb,(MLB),Tigers TV,48,Seattle Mariners at Detroit Tigers,,scoreboard
Friday 6/5,2026-06-05,7:00am,2026-06-05 07:00:00,TV Guide,tvguide_aywt,(DPW),Golf,52,PGA European Tour Golf — KLM Open,,tvguide
Friday 6/5,2026-06-05,9:00am,2026-06-05 09:00:00,TV Guide,tvguide_aywt,(KFT),Golf,52,Korn Ferry Tour Golf — BMW Charity Pro-Am,,tvguide
Friday 6/5,2026-06-05,2:00pm,2026-06-05 14:00:00,TV Guide,tvguide_aywt,(PGA Tour),Golf,52,PGA Tour Golf — the Memorial Tournament,,tvguide
Friday 6/5,2026-06-05,6:00pm,2026-06-05 18:00:00,TV Guide,tvguide_aywt,(Champions Tour),Golf,52,Champions Tour Golf — American Family Insurance Championship,,tvguide
Friday 6/5,2026-06-05,7:00pm,2026-06-05 19:00:00,Golf Schedule,golf_smw,(LPGA),Peacock,99,"2026 U.S. Women's Open — Second Round , cont'd",,golf_smw
Friday 6/5,2026-06-05,7:05pm,2026-06-05 19:05:00,Boston Red Sox,baseball/mlb,(MLB),Boston Red Sox,109,Boston Red Sox at New York Yankees,Boston Red Sox,favorite
Friday 6/5,2026-06-05,6:40pm,2026-06-05 18:40:00,Detroit Tigers,baseball/mlb,(MLB),Detroit Tigers,110,Seattle Mariners at Detroit Tigers,Detroit Tigers,favorite
Saturday 6/6,2026-06-06,2:30pm,2026-06-06 14:30:00,TV Guide,tvguide_aywt,(PGA Tour),CBS,3,PGA Tour Golf — the Memorial Tournament,,tvguide
Saturday 6/6,2026-06-06,7:00pm,2026-06-06 19:00:00,Golf Schedule,golf_smw,(LPGA),NBC,4,2026 U.S. Women's Open — Third Round Main Window,,golf_smw
Saturday 6/6,2026-06-06,7:35pm,2026-06-06 19:35:00,MLB,baseball/mlb,(MLB),FOX,6,Boston Red Sox at New York Yankees,,scoreboard
Saturday 6/6,2026-06-06,1:00pm,2026-06-06 13:00:00,TV Guide,tvguide_aywt,(WNBA),ABC,7,Seattle Storm vs. Minnesota Lynx,,tvguide
Saturday 6/6,2026-06-06,3:00pm,2026-06-06 15:00:00,TV Guide,tvguide_aywt,(WNBA),ABC,7,Golden State Valkyries vs. Las Vegas Aces,,tvguide
Saturday 6/6,2026-06-06,8:00pm,2026-06-06 20:00:00,NHL,hockey/nhl,(NHL),ABC,7,Carolina Hurricanes at Vegas Golden Knights,,scoreboard
