source,page_label,channel,date,start_dt,time_str,raw_time,title,round,location,network_line,url,decision_reason,inferred_tag
golf_smw,LPGA,USA,2026-06-04,2026-06-04 14:00:00,2:00pm,2:00 pm,2026 U.S. Women's Open — First Round,First Round,"Pacific Palisades, CA",USA Network,https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/,,(LPGA)
golf_smw,LPGA,Peacock,2026-06-04,2026-06-04 19:00:00,7:00pm,7:00 pm,"2026 U.S. Women's Open — First Round , cont'd","First Round, cont'd","Pacific Palisades, CA",Peacock,https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/,,(LPGA)
golf_smw,LPGA,USA,2026-06-05,2026-06-05 14:00:00,2:00pm,2:00 pm,2026 U.S. Women's Open — Second Round,Second Round,"Pacific Palisades, CA",USA Network,https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/,,(LPGA)
golf_smw,LPGA,Peacock,2026-06-05,2026-06-05 19:00:00,7:00pm,7:00 pm,"2026 U.S. Women's Open — Second Round , cont'd","Second Round, cont'd","Pacific Palisades, CA",Peacock,https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/,,(LPGA)
golf_smw,LPGA,USA,2026-06-06,2026-06-06 17:00:00,5:00pm,5:00 pm,2026 U.S. Women's Open — Third Round Lead-In,Third Round Lead-In,"Pacific Palisades, CA",USA Network,https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/,,(LPGA)
golf_smw,LPGA,NBC,2026-06-06,2026-06-06 19:00:00,7:00pm,7:00 pm,2026 U.S. Women's Open — Third Round Main Window,Third Round Main Window,"Pacific Palisades, CA","NBC,",https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/,,(LPGA)
golf_smw,LPGA,Peacock,2026-06-07,2026-06-07 15:00:00,3:00pm,3:00 pm,2026 U.S. Women's Open — Final Round Lead-In,Final Round Lead-In,"Pacific Palisades, CA",Peacock,https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/,,(LPGA)
golf_smw,LPGA,NBC,2026-06-07,2026-06-07 17:00:00,5:00pm,5:00 pm,2026 U.S. Women's Open — Final Round Main Window,Final Round Main Window,"Pacific Palisades, CA","NBC,",https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/,,(LPGA)
golf_smw,LIV Golf,FS1,2026-06-04,2026-06-04 08:00:00,8:00am,8:00 am,Andalucia — First Round,First Round,,"FS1, FOX One",https://www.sportsmediawatch.com/tv-schedules/liv-golf-tv-schedule/,,(Golf)
golf_smw,LIV Golf,FS1,2026-06-05,2026-06-05 08:00:00,8:00am,8:00 am,Andalucia — Second Round,Second Round,,"FS1, FOX One",https://www.sportsmediawatch.com/tv-schedules/liv-golf-tv-schedule/,,(Golf)
golf_smw,LIV Golf,FS1,2026-06-06,2026-06-06 12:00:00,12:00pm,12:00 pm,Andalucia — Third Round,Third Round,,"FS1, FOX One",https://www.sportsmediawatch.com/tv-schedules/liv-golf-tv-schedule/,,(Golf)
golf_smw,LIV Golf,FS1,2026-06-07,2026-06-07 12:00:00,12:00pm,12:00 pm,Andalucia — Final Round,Final Round,,"FS1, FOX One",https://www.sportsmediawatch.com/tv-schedules/liv-golf-tv-schedule/,,(Golf)
golf_smw,US Women's Open,USA,2026-06-04,2026-06-04 14:00:00,2:00pm,2:00 pm,2026 U.S. Women's Open — First Round,First Round,"Pacific Palisades, CA",USA Network,https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/us-womens-open/,,(LPGA)
golf_smw,US Women's Open,Peacock,2026-06-04,2026-06-04 19:00:00,7:00pm,7:00 pm,"2026 U.S. Women's Open — First Round , cont'd","First Round, cont'd","Pacific Palisades, CA",Peacock,https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/us-womens-open/,,(LPGA)
golf_smw,US Women's Open,USA,2026-06-05,2026-06-05 14:00:00,2:00pm,2:00 pm,2026 U.S. Women's Open — Second Round,Second Round,"Pacific Palisades, CA",USA Network,https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/us-womens-open/,,(LPGA)
golf_smw,US Women's Open,Peacock,2026-06-05,2026-06-05 19:00:00,7:00pm,7:00 pm,"2026 U.S. Women's Open — Second Round , cont'd","Second Round, cont'd","Pacific Palisades, CA",Peacock,https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/us-womens-open/,,(LPGA)
golf_smw,US Women's Open,USA,2026-06-06,2026-06-06 17:00:00,5:00pm,5:00 pm,2026 U.S. Women's Open — Third Round Lead-In,Third Round Lead-In,"Pacific Palisades, CA",USA Network,https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/us-womens-open/,,(LPGA)
golf_smw,US Women's Open,NBC,2026-06-06,2026-06-06 19:00:00,7:00pm,7:00 pm,2026 U.S. Women's Open — Third Round Main Window,Third Round Main Window,"Pacific Palisades, CA","NBC,",https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/us-womens-open/,,(LPGA)
golf_smw,US Women's Open,Peacock,2026-06-07,2026-06-07 15:00:00,3:00pm,3:00 pm,2026 U.S. Women's Open — Final Round Lead-In,Final Round Lead-In,"Pacific Palisades, CA",Peacock,https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/us-womens-open/,,(LPGA)
golf_smw,US Women's Open,NBC,2026-06-07,2026-06-07 17:00:00,5:00pm,5:00 pm,2026 U.S. Women's Open — Final Round Main Window,Final Round Main Window,"Pacific Palisades, CA","NBC,",https://www.sportsmediawatch.com/tv-schedules/lpga-tv-schedule/us-womens-open/,,(LPGA)
