source,channel,date,start_dt,time_str,raw_time,category,title,description,url,decision_reason,inferred_tag
tvguide,Golf,2026-06-05,2026-06-05 07:00:00,7:00am,7:00a,PGA European Tour Golf,PGA European Tour Golf — KLM Open,KLM Open,https://areyouwatchingthis.com/tv/stations/golf-the-golf-channel,tag_inferred,(DPW)
tvguide,Golf,2026-06-05,2026-06-05 09:00:00,9:00am,9:00a,Korn Ferry Tour Golf,Korn Ferry Tour Golf — BMW Charity Pro-Am,BMW Charity Pro-Am presented by TD SYNNEX,https://areyouwatchingthis.com/tv/stations/golf-the-golf-channel,tag_inferred,(KFT)
tvguide,Golf,2026-06-05,2026-06-05 14:00:00,2:00pm,2:00p,PGA Tour Golf,PGA Tour Golf — the Memorial Tournament,the Memorial Tournament presented by Workday,https://areyouwatchingthis.com/tv/stations/golf-the-golf-channel,tag_inferred,(PGA Tour)
tvguide,Golf,2026-06-05,2026-06-05 18:00:00,6:00pm,6:00p,Champions Tour Golf,Champions Tour Golf — American Family Insurance Championship,American Family Insurance Championship,https://areyouwatchingthis.com/tv/stations/golf-the-golf-channel,tag_inferred,(Champions Tour)
tvguide,Golf,2026-06-06,2026-06-06 07:00:00,7:00am,7:00a,PGA European Tour Golf,PGA European Tour Golf — KLM Open,KLM Open,https://areyouwatchingthis.com/tv/stations/golf-the-golf-channel,tag_inferred,(DPW)
tvguide,Golf,2026-06-06,2026-06-06 12:30:00,12:30pm,12:30p,PGA Tour Golf,PGA Tour Golf — the Memorial Tournament,the Memorial Tournament presented by Workday,https://areyouwatchingthis.com/tv/stations/golf-the-golf-channel,tag_inferred,(PGA Tour)
tvguide,Golf,2026-06-06,2026-06-06 14:30:00,2:30pm,2:30p,Champions Tour Golf,Champions Tour Golf — American Family Insurance Championship,American Family Insurance Championship,https://areyouwatchingthis.com/tv/stations/golf-the-golf-channel,tag_inferred,(Champions Tour)
tvguide,Golf,2026-06-06,2026-06-06 17:00:00,5:00pm,5:00p,Korn Ferry Tour Golf,Korn Ferry Tour Golf — BMW Charity Pro-Am,BMW Charity Pro-Am presented by TD SYNNEX,https://areyouwatchingthis.com/tv/stations/golf-the-golf-channel,tag_inferred,(KFT)
tvguide,Golf,2026-06-07,2026-06-07 06:30:00,6:30am,6:30a,PGA European Tour Golf,PGA European Tour Golf — KLM Open,KLM Open,https://areyouwatchingthis.com/tv/stations/golf-the-golf-channel,tag_inferred,(DPW)
tvguide,Golf,2026-06-07,2026-06-07 12:30:00,12:30pm,12:30p,PGA Tour Golf,PGA Tour Golf — the Memorial Tournament,the Memorial Tournament presented by Workday,https://areyouwatchingthis.com/tv/stations/golf-the-golf-channel,tag_inferred,(PGA Tour)
tvguide,Golf,2026-06-07,2026-06-07 14:30:00,2:30pm,2:30p,Champions Tour Golf,Champions Tour Golf — American Family Insurance Championship,American Family Insurance Championship,https://areyouwatchingthis.com/tv/stations/golf-the-golf-channel,tag_inferred,(Champions Tour)
tvguide,Golf,2026-06-07,2026-06-07 17:00:00,5:00pm,5:00p,Korn Ferry Tour Golf,Korn Ferry Tour Golf — BMW Charity Pro-Am,BMW Charity Pro-Am presented by TD SYNNEX,https://areyouwatchingthis.com/tv/stations/golf-the-golf-channel,tag_inferred,(KFT)
tvguide,FS1,2026-06-06,2026-06-06 13:30:00,1:30pm,1:30p,NASCAR Racing,NASCAR Racing — NASCAR Craftsman Truck Series Race at Michigan,NASCAR Craftsman Truck Series Race at Michigan,https://areyouwatchingthis.com/tv/stations/fs1-fox-sports-1,tag_inferred,(Racing)
tvguide,FS1,2026-06-07,2026-06-07 22:00:00,10:00pm,10:00p,Men's International Soccer Friendlies,"(M) International Friendly
New Zealand vs. England",New Zealand vs. England at Raymond James Stadium,https://areyouwatchingthis.com/tv/stations/fs1-fox-sports-1,tag_inferred,(Soccer)
tvguide,TNT,2026-06-06,2026-06-06 14:30:00,2:30pm,2:30p,Men's International Soccer Friendlies,"(M) International Friendly
Germany vs. United States",Germany vs. United States at Soldier Field,https://areyouwatchingthis.com/tv/stations/tntphd-turner-network-tv-hd-pacific,tag_inferred,(Soccer)
tvguide,TNT,2026-06-06,2026-06-06 17:30:00,5:30pm,5:30p,Women's International Soccer Friendlies,"(W) International Friendly
United States vs. Brazil",United States vs. Brazil at Neo Química Arena,https://areyouwatchingthis.com/tv/stations/tntphd-turner-network-tv-hd-pacific,tag_inferred,(Soccer)
tvguide,NBC,2026-06-07,2026-06-07 20:00:00,8:00pm,8:00p,MLB Baseball,MLB Baseball — San Francisco Giants vs. Chicago Cubs,San Francisco Giants vs. Chicago Cubs at Wrigley Field,https://areyouwatchingthis.com/tv/stations/wilxdt-nbc,tag_inferred,(MLB)
tvguide,CBS,2026-06-06,2026-06-06 14:30:00,2:30pm,2:30p,PGA Tour Golf,PGA Tour Golf — the Memorial Tournament,the Memorial Tournament presented by Workday,https://areyouwatchingthis.com/tv/stations/wlnsdt-cbs,tag_inferred,(PGA Tour)
tvguide,CBS,2026-06-07,2026-06-07 14:30:00,2:30pm,2:30p,PGA Tour Golf,PGA Tour Golf — the Memorial Tournament,the Memorial Tournament presented by Workday,https://areyouwatchingthis.com/tv/stations/wlnsdt-cbs,tag_inferred,(PGA Tour)
tvguide,FOX,2026-06-06,2026-06-06 19:30:00,7:30pm,7:30p,MLB Baseball,MLB Baseball — Boston Red Sox vs. New York Yankees,Boston Red Sox vs. New York Yankees at Yankee Stadium,https://areyouwatchingthis.com/tv/stations/wsymdt-fox,tag_inferred,(MLB)
tvguide,ABC,2026-06-06,2026-06-06 13:00:00,1:00pm,1:00p,WNBA Basketball,Seattle Storm vs. Minnesota Lynx,Seattle Storm vs. Minnesota Lynx at Target Center,https://areyouwatchingthis.com/tv/stations/wlajdt-abc,tag_inferred,(WNBA)
tvguide,ABC,2026-06-06,2026-06-06 15:00:00,3:00pm,3:00p,WNBA Basketball,Golden State Valkyries vs. Las Vegas Aces,Golden State Valkyries vs. Las Vegas Aces at Michelob ULTRA Arena,https://areyouwatchingthis.com/tv/stations/wlajdt-abc,tag_inferred,(WNBA)
