raw_broadcast_string,count
NBA League Pass,20
ACC Extra,14
B1G+,8
MWN,6
SECN+,6
FanDuel SN SE,5
CHSN,4
FanDuel SN DET,4
ACC Network,3
Altitude Sports,3
FanDuel SN North,3
FanDuel SN OH,3
FanDuel SN South,3
MNMT,3
MSG,3
MSGSN,3
NBC Sports BA,3
Prime Video,3
Scripps Sports,3
Apple TV+,2
Arizona's Family 3TV,2
BlazerVision,2
CBSSN,2
FanDuel SN FL,2
FanDuel SN IN,2
FanDuel SN MW,2
FanDuel SN OK,2
FanDuel SN Sun,2
FanDuel SN WI,2
GCSEN,2
Jazz+,2
KCOP,2
KJZZ-TV,2
KUNP 16,2
MLS Season Pass,2
MSGB,2
NBC Sports CA,2
NBC Sports Phil,2
NESN,2
NHL Net,2
Peacock,2
Pelicans.com,2
SEC Network,2
Spectrum Sports Net,2
Spectrum Sports Net +,2
Suns Live,2
TSN,2
Victory+,2
FOX Deportes,1
FanDuel SN SW,1
FanDuel SN SoCal,1
FanDuel SN WIX,1
FanDuel SN West,1
HBO Max,1
Hulu,1
KFAA-TV,1
KHN,1
KONG,1
KTVD-TV (My20),1
MSG2,1
Mavs.com,1
NBA TV,1
NBC Sports BO,1
Space City Home Network,1
The Spot - MTN,1
Utah 16,1
YES,1
